folder,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02
68-boston,31,31,32,33,31,15,30,29,29,30,30,30,33,30,32,31,31,0,0,0,0,0,0,0,0
681-stockton,27,25,26,25,26,6,25,25,27,26,29,29,26,25,0,0,0,0,0,0,0,0,0,0,0
682-stonehill,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683-stony-brook,33,30,33,31,29,21,31,31,30,30,32,31,33,0,0,0,0,0,0,0,0,0,0,0,0
685-susquehanna,26,26,27,25,24,0,25,24,24,25,25,26,24,25,24,0,0,0,0,0,0,0,0,0,0
686-swarthmore,25,25,26,25,25,0,26,25,25,25,25,25,24,30,23,0,0,0,0,0,0,0,0,0,0
688-syracuse,34,30,32,33,29,24,31,34,31,33,38,32,33,32,0,0,0,0,0,0,0,0,0,0,0
69-bowdoin,28,30,31,25,25,0,29,33,31,26,29,30,27,25,29,0,0,0,0,0,0,0,0,0,0
690-temple,32,31,42,39,28,22,31,30,31,32,35,37,30,32,33,0,0,0,0,0,0,0,0,0,0
691-tennessee-st,29,31,30,29,31,22,28,29,27,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693-chattanooga,31,32,33,33,30,24,29,31,30,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694-tennessee,30,33,33,37,34,25,31,32,33,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695-ut-martin,30,32,33,30,30,28,32,32,34,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696-tex-a&m-kingsville,26,30,29,29,28,16,24,28,28,28,26,26,27,0,0,0,0,0,0,0,0,0,0,0,0
697-texas-a&m,27,29,32,29,29,28,30,34,36,34,32,33,36,35,35,38,34,35,37,32,32,0,0,0,0
698-texas-christian,38,36,33,30,28,25,29,35,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699-texas-southern,31,33,29,29,26,15,30,29,31,33,30,29,33,32,31,0,0,0,0,0,0,0,0,0,0
7-alabama-state,32,30,29,31,30,19,30,30,30,30,31,32,29,28,28,0,0,0,0,0,0,0,0,0,0
70-bowie-st,29,29,27,26,24,0,30,28,32,28,28,26,25,25,25,0,0,0,0,0,0,0,0,0,0
700-texas-tech,34,34,33,35,30,25,29,31,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701-texas-womans,33,35,39,32,29,14,25,29,27,29,31,29,28,0,0,0,0,0,0,0,0,0,0,0,0
702-texas-arlington,33,32,33,31,28,20,32,32,30,31,31,26,1,0,0,0,0,0,0,0,0,0,0,0,0
703-texas,39,39,38,36,36,31,30,33,35,34,36,35,34,30,32,33,33,32,35,0,28,0,0,0,0
704-texas-el-paso,30,30,31,32,29,25,30,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706-ut-san-antonio,0,0,0,32,30,20,29,28,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707-thiel,25,25,25,25,22,9,25,28,25,25,25,26,26,0,0,0,0,0,0,0,0,0,0,0,0
709-toledo,32,33,34,34,35,24,31,32,33,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71-bowling-green,31,31,31,38,33,29,31,30,30,31,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0
711-towson,31,32,31,33,32,22,29,33,29,30,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0
712-tcnj,28,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
